Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Decton Group of companies</>,<>chr3d067rtd60jt9t8j</>,<>http://www.careerbuilder.com/jobs/company/chr3d067rtd60jt9t8j/decton-group-of-companies?sc_cmp1=13_JobRes_ComDet</>,<>JHR8FJ6R3JC4M93SRXN</>,<>15-1061.00</>,<>Database Administrators</>,<>Project based database administrator needed for ongoing client projects and database needs ...   database theory Knowledge of database design...</>,</>,<>Full-Time/Part-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR8FJ6R3JC4M93SRXN</>,<>https://api.careerbuilder.com/v1/job?DID=JHR8FJ6R3JC4M93SRXN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>AZ - Phoenix</>,<>33.5597</>,<>-112.0949</>,<>6/30/2014 1:12:00 AM</>,<>$45k - $65k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR8FJ6R3JC4M93SRXN</>,<>Database Administrator</>,<>HasAOReview</>,"<>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>client-server model</Skill>
        <Skill>cloud computing</Skill>
        <Skill>transact-sql</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>red hat</Skill>
        <Skill>database design</Skill>
      </>"
<>Greenville Technical College</>,</>,</>,<>JHT5685W99420CLJ2WX</>,<>15-1061.00</>,<>Database Administrators</>,<> College. Duties may include any or all of the following: -Administers the database management system for ...   of database management systems....</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT5685W99420CLJ2WX</>,<>https://api.careerbuilder.com/v1/job?DID=JHT5685W99420CLJ2WX&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>SC - Greenville</>,<>34.8551</>,<>-82.3194</>,<>7/21/2014 11:57:54 AM</>,"<>$47,092 - $67,108/year</>",<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT5685W99420CLJ2WX</>,<>Database Administrator II</>,<>IsExternal</>,"<>
        <Skill>database administrator</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
      </>"
<>Personnel Services Inc</>,<>chr5lx6k7gb4pppy5r2</>,<>http://www.careerbuilder.com/jobs/company/chr5lx6k7gb4pppy5r2/personnel-services-inc?sc_cmp1=13_JobRes_ComDet</>,<>JB71M568665DRD4SJ2V</>,<>15-1061.00</>,<>Database Administrators</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71M568665DRD4SJ2V</>,<>https://api.careerbuilder.com/v1/job?DID=JB71M568665DRD4SJ2V&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>KS - Wichita, KS</>",<>37.6865</>,<>-97.3343</>,<>7/16/2014 1:05:43 AM</>,<>$0 - $110k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71M568665DRD4SJ2V</>,<>Senior Database Administrator - SQL Server DBA</>,<>HasAOReview</>,"<>
        <Skill>database administrator</Skill>
        <Skill>ETL</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>visual basic</Skill>
        <Skill>data warehouse</Skill>
        <Skill>stored procedure</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>windows server 2008</Skill>
        <Skill>sql</Skill>
        <Skill>sql server integration services</Skill>
        <Skill>sql server reporting services</Skill>
        <Skill>database design</Skill>
      </>"
<>Infinity Sales Group</>,<>chs2mk6fj0db22v6kl5</>,<>http://www.careerbuilder.com/jobs/company/chs2mk6fj0db22v6kl5/infinity-sales-group?sc_cmp1=13_JobRes_ComDet</>,<>JHM54467YMRSN7H3PWK</>,<>15-1061.00</>,<>Database Administrators</>,"<>Database Administrator/Developer Infinity Sales Group is seeking an intuitive, ambitious, self ...  MUST HAVE: Minimum 3+ years of experience in...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM54467YMRSN7H3PWK</>,<>https://api.careerbuilder.com/v1/job?DID=JHM54467YMRSN7H3PWK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Coral Springs</>,<>26.3809</>,<>-80.1055</>,<>7/24/2014 12:56:03 PM</>,<>$65k - $90k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM54467YMRSN7H3PWK</>,<>&quot;Database Administrator&quot; - Developer - &quot;software engineer&quot;</>,<>RequireUserInfo</>,"<>
        <Skill>mysql</Skill>
        <Skill>database administrator</Skill>
        <Skill>ETL</Skill>
        <Skill>database</Skill>
        <Skill>xml</Skill>
        <Skill>stored procedure</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>workflow</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>sql server integration services</Skill>
        <Skill>data modeling</Skill>
        <Skill>sql server reporting services</Skill>
        <Skill>database design</Skill>
      </>"
<>W.A. KRAPF INC.</>,</>,</>,<>JHV66W60BGT2SBKM3HB</>,<>15-1061.00</>,<>Database Administrators</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV66W60BGT2SBKM3HB</>,<>https://api.careerbuilder.com/v1/job?DID=JHV66W60BGT2SBKM3HB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NY - Macedon</>,<>43.06953</>,<>-77.29809</>,<>6/27/2014 4:51:35 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV66W60BGT2SBKM3HB</>,<>Database Administrator</>,<>CanBulkApply</>,"<>
        <Skill>vbscript</Skill>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>ibm software</Skill>
        <Skill>vb</Skill>
        <Skill>crystal reports</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
      </>"
<>Nationwide Technical Resources Corp.</>,<>chq07r65hsdm1vd4rs7</>,<>http://www.careerbuilder.com/jobs/company/chq07r65hsdm1vd4rs7/nationwide-technical-resources-corp?sc_cmp1=13_JobRes_ComDet</>,<>JHM2LY5ZT30NWCT2X53</>,<>15-1061.00</>,<>Database Administrators</>,<>Senior Oracle Database AdministratorAbout the Job The Senior Database Administrator will ...   while providing operational DBA support to both...</>,</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM2LY5ZT30NWCT2X53</>,<>https://api.careerbuilder.com/v1/job?DID=JHM2LY5ZT30NWCT2X53&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Dallas</>,<>33.0023</>,<>-96.8406</>,<>7/9/2014 2:48:40 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM2LY5ZT30NWCT2X53</>,<>Senior Oracle Database Administrator</>,<>CanBulkApply</>,"<>
        <Skill>database administrator</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>oracle data guard</Skill>
        <Skill>rman</Skill>
        <Skill>oracle rac</Skill>
        <Skill>pl/sql</Skill>
        <Skill>shell script</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>database design</Skill>
        <Skill>unix</Skill>
      </>"
<>Beacon Health Strategies</>,<>chm3cx6xh8rrt72ssdx</>,<>http://www.careerbuilder.com/jobs/company/chm3cx6xh8rrt72ssdx/beacon-health-strategies?sc_cmp1=13_JobRes_ComDet</>,<>JHQ5WY68511BQQSC4K6</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>Database Developer Job Description The Database Developer is primarily responsible for ...  Database Developer Requirements: The successful Database...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ5WY68511BQQSC4K6</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ5WY68511BQQSC4K6&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Boston</>,<>42.363</>,<>-71.0545</>,<>7/16/2014 1:11:44 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ5WY68511BQQSC4K6</>,<>Database Developer</>,<>CanBulkApply</>,"<>
        <Skill>database</Skill>
        <Skill>data warehouse</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
      </>"
"<>Empire Distributors, Inc.</>",</>,</>,<>JHP7GV6VDQGM445KJF4</>,<>15-1061.00</>,<>Database Administrators</>,"<> database environment including developing and organizing the databases, assessment and implementation of ...   Database software and Visual Studio...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP7GV6VDQGM445KJF4</>,<>https://api.careerbuilder.com/v1/job?DID=JHP7GV6VDQGM445KJF4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Marietta</>,<>33.95319</>,<>-84.54588</>,<>7/8/2014 9:12:24 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP7GV6VDQGM445KJF4</>,<>Database Administrator</>,<>IsExternal</>,"<>
        <Skill>.net framework</Skill>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>computer security</Skill>
      </>"
"<>Empire Distributors, Inc.</>",</>,</>,<>JHQ2QS5XLZC6GX8BX91</>,<>15-1061.00</>,<>Database Administrators</>,"<> database environment including developing and organizing the databases, assessment and implementation of ...   Database software and Visual Studio...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ2QS5XLZC6GX8BX91</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ2QS5XLZC6GX8BX91&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Atlanta</>,<>33.74831</>,<>-84.39111</>,<>7/3/2014 2:24:04 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ2QS5XLZC6GX8BX91</>,<>Database Administrator</>,<>HasScreener</>,"<>
        <Skill>.net framework</Skill>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>computer security</Skill>
      </>"
<>Skinner &amp; Associates</>,<>chl6806wksrl5tyzwjs</>,<>http://www.careerbuilder.com/jobs/company/chl6806wksrl5tyzwjs/skinner-associates?sc_cmp1=13_JobRes_ComDet</>,<>JB76286L4M22QG8L7XX</>,<>15-1021.00</>,<>Computer Programmers</>,"<>Job is located in Springfield, MA. GENERAL JOB SUMMARY The SQL Database Developer II is a ...  PREFERRED TECHNICAL SKILLS Microsoft T-SQL, SSRS, SSIS...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB76286L4M22QG8L7XX</>,<>https://api.careerbuilder.com/v1/job?DID=JB76286L4M22QG8L7XX&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>MA - Relocate to Springfield, MA</>",<>42.35863</>,<>-71.0567</>,<>7/23/2014 9:07:55 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB76286L4M22QG8L7XX</>,<>Sr. SQL Database Developer</>,<>HasScreener</>,"<>
        <Skill>microsoft access</Skill>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>xml</Skill>
        <Skill>software development</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>postgresql</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visio</Skill>
        <Skill>computer security</Skill>
        <Skill>data management</Skill>
      </>"
